	C1	C2	C3	C4
Seedling root	0	9.385896057	17.82915776	2.175899992
Seedling leaf	0	4.92	1.2	0
Root	0	1.02	44.31	20.55
Rosette leaf	0	0.703725159	0	0
Cauline leaf	0	0.482692479	0	0
Stem	0	0.903017226	0	0
Flower	2.861505363	15.66064812	0.845416193	0
Silique	72.07717037	78.9590879	2.457222706	0.330731104
