	C1	C2	C3	C4
Seedling root	0	0.210468632	0.656613023	0.092745352
Seedling leaf	0	0.243	0.027	0
Root	0	0.0399	1.17	0.69
Rosette leaf	0	0.023723366	0	0
Cauline leaf	0	0.109243401	0	0
Stem	0	0.161939267	0	0
Flower	0.089358584	0.351282025	0.045041419	0
Silique	1.082029914	1.534532683	0.101859405	0.01166817
