otu	A_mean	B_mean	logFC	PValue	level	phylum	class	order	family	genus	tax	TPS25a3r1	TPS25a3r2	TPS25a3r3	TPS25a3r4	TPS25a3r5	TPS25a3r6	TPS25a3r7	TPS25a3r8	TPS25a3r9	TPS25a3r10	TPS25a3r11	TPS25a3r12	TPS25a3r13	TPS25a3r14	TPS25a3r15	WT4b3r1	WT4b3r2	WT4b3r3	WT4b3r4	WT4b3r5	WT4b3r6	WT4b3r7	WT4b3r8	WT4b3r9	WT4b3r10	WT4b3r11	WT4b3r12	WT4b3r13	WT4b3r14
OTU_5042	0.018	0.001	3.78	0.000732	enriched	Actinobacteria	Actinobacteria	Actinomycetales	Bogoriellaceae	Georgenia	Actinobacteria	0	0.001	0	0	0.001	0	0.001	0.001	0.262	0	0.001	0	0.002	0	0.001	0	0.001	0.002	0.004	0.001	0.003	0.001	0	0	0	0.005	0	0.001	0
OTU_202	0.536	0.101	2.49	0.000525	enriched	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas	Actinobacteria	0.038	0.012	1.1	0.005	0.016	0.042	0.027	0.04	1.81	0.011	0.096	0.004	4.807	0.004	0.027	0.731	0.057	0.076	0.043	0.048	0.013	0.037	0.013	0.029	0.012	0.062	0.051	0.207	0.042
OTU_9989	0.017	0	4	8.12e-05	enriched	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Pilimelia	Actinobacteria	0.001	0.212	0	0.001	0	0	0.034	0	0.001	0	0	0	0	0	0	0	0.001	0.002	0	0.001	0	0	0	0	0	0.001	0	0	0
OTU_7	2.387	1.472	0.79	0.00236	enriched	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Actinobacteria	2.237	2.889	2.557	2.088	2.379	2.249	3.288	1.615	1.733	2.28	2.43	2.692	2.547	2.57	2.247	0.655	2.326	2.04	0.859	1.705	1.362	1.588	2.049	1.618	2.548	0.891	1.147	0.883	0.945
OTU_55	0.539	0.216	1.46	1.6e-05	enriched	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Actinobacteria	0.796	0.302	0.325	0.663	0.603	0.269	0.114	0.17	0.228	0.801	0.433	0.511	0.249	2.025	0.595	0.15	0.14	0.22	0.283	0.193	0.2	0.131	0.23	0.244	0.275	0.294	0.283	0.173	0.204
OTU_3371	0.117	0.038	1.73	0.00166	enriched	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Actinobacteria	0.024	0.215	0.872	0.061	0.019	0.066	0.107	0.012	0.09	0.058	0.011	0.03	0.013	0.015	0.163	0.114	0.024	0.02	0.015	0.009	0.082	0.029	0.052	0.005	0.014	0.044	0.038	0.03	0.053
OTU_680	0.021	0.014	0.69	0.00253	enriched	Actinobacteria	Thermoleophilia	Solirubrobacterales			Actinobacteria	0.006	0.012	0.009	0.021	0.023	0.026	0.016	0.053	0.02	0.016	0.035	0.023	0.013	0.025	0.023	0.012	0.01	0.022	0.013	0.016	0.011	0.014	0.015	0.006	0.024	0.013	0.011	0.02	0.007
OTU_122	0.063	0.028	1.28	4.32e-06	enriched	Bacteroidetes	Cytophagia	Cytophagales			Bacteroidetes	0.051	0.096	0.062	0.044	0.034	0.056	0.027	0.049	0.053	0.053	0.047	0.106	0.077	0.085	0.111	0.01	0.016	0.035	0.015	0.033	0.033	0.033	0.039	0.022	0.049	0.024	0.028	0.033	0.022
OTU_110	0.124	0.076	0.85	7.92e-05	enriched	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae		Bacteroidetes	0.122	0.203	0.117	0.098	0.064	0.106	0.034	0.036	0.4	0.168	0.058	0.121	0.125	0.08	0.123	0.059	0.064	0.117	0.056	0.095	0.053	0.06	0.05	0.039	0.088	0.074	0.134	0.113	0.056
OTU_301	0.049	0.018	1.73	1.25e-08	enriched	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae		Bacteroidetes	0.164	0.043	0.078	0.044	0.012	0.061	0.023	0.009	0.023	0.048	0.026	0.055	0.048	0.033	0.075	0.007	0.016	0.031	0.012	0.024	0.016	0.007	0.01	0.016	0.018	0.03	0.027	0.022	0.011
OTU_5804	0.002	0	3.27	5.56e-05	enriched	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	Chitinophaga	Bacteroidetes	0.001	0.006	0.01	0.001	0.002	0	0.002	0	0.002	0	0.003	0	0	0	0.001	0	0	0	0	0.001	0	0	0	0	0	0	0	0.001	0
OTU_46	0.238	0.107	1.3	2.5e-08	enriched	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	Niastella	Bacteroidetes	0.383	0.28	0.217	0.246	0.153	0.185	0.077	0.159	0.17	0.266	0.295	0.264	0.391	0.164	0.324	0.086	0.16	0.11	0.053	0.169	0.067	0.068	0.093	0.082	0.126	0.13	0.153	0.101	0.104
OTU_759	0.102	0.05	1.13	3.35e-05	enriched	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	Parasegitibacter	Bacteroidetes	0.152	0.116	0.088	0.122	0.075	0.101	0.034	0.067	0.065	0.106	0.109	0.105	0.164	0.074	0.151	0.055	0.106	0.05	0.024	0.058	0.026	0.045	0.045	0.041	0.056	0.054	0.052	0.048	0.043
OTU_370	0.02	0.009	1.3	9.89e-08	enriched	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	Terrimonas	Bacteroidetes	0.026	0.02	0.021	0.024	0.015	0.022	0.007	0.014	0.015	0.02	0.016	0.035	0.024	0.014	0.023	0.007	0.004	0.015	0.009	0.012	0.006	0.006	0.008	0.003	0.01	0.011	0.013	0.012	0.01
OTU_238	0.052	0.031	0.87	0.00466	enriched	Chlamydiae	Chlamydiia	Chlamydiales	0.970		Low Abundance	0.078	0.065	0.068	0.066	0.039	0.056	0.026	0.03	0.028	0.074	0.054	0.047	0.041	0.042	0.071	0.023	0.014	0.027	0.019	0.054	0.009	0.011	0.015	0.062	0.073	0.051	0.031	0.016	0.028
OTU_830	0.016	0.006	1.48	0.000248	enriched	Firmicutes	Bacilli	Bacillales	Bacillaceae	0.960	Firmicutes	0.006	0.005	0.003	0.006	0.005	0.021	0.012	0.089	0.01	0.008	0.007	0.009	0.013	0.015	0.023	0.005	0.009	0.008	0.005	0.003	0.003	0.001	0.003	0.003	0.011	0.011	0.011	0.005	0.004
OTU_240	0.073	0.007	3.35	4.1e-06	enriched	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Firmicutes	0.001	0.001	0.003	0.002	0.002	0.004	0.008	0.002	0.919	0.105	0.007	0.006	0.032	0.001	0.005	0.003	0.013	0.005	0.005	0.006	0.001	0.007	0.004	0.003	0.009	0.025	0.005	0.009	0.002
OTU_2028	0.005	0	4	0.000136	enriched	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Natronincola_Anaerovirgula	Firmicutes	0	0	0.001	0	0.001	0	0.076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_371	0.004	0.002	1.19	0.0014	enriched	Gemmatimonadetes					Low Abundance	0.003	0.004	0.004	0.007	0.001	0.005	0.001	0.005	0.004	0.001	0.003	0.006	0.004	0.004	0.005	0	0	0.003	0.001	0.001	0.001	0	0	0.002	0.003	0.002	0.004	0.009	0.002
OTU_1310	0.007	0.002	2.11	0.000102	enriched	Gemmatimonadetes	Gemm-3				Low Abundance	0.001	0.005	0.001	0.004	0.069	0.003	0.001	0.002	0.004	0.002	0.001	0.003	0.001	0.008	0.005	0.002	0.001	0.002	0.004	0.001	0.001	0.001	0.003	0	0	0.004	0.001	0.002	0.002
OTU_1596	0.006	0.001	2.41	0.00268	enriched	Gemmatimonadetes	Gemm-3				Low Abundance	0.002	0.08	0.001	0.003	0	0.001	0	0	0.001	0	0.001	0	0.001	0.001	0	0	0.003	0.002	0.001	0.001	0.001	0	0.002	0	0	0.003	0.001	0.002	0.002
OTU_1152	0.006	0.001	2.61	1.6e-05	enriched	Planctomycetes	Planctomycetia	Low Abundance	Gemmataceae	Gemmata	Planctomycetes	0.002	0.01	0.01	0.001	0.003	0.007	0.041	0.001	0.002	0.002	0.004	0	0.002	0.001	0.001	0.001	0.001	0	0	0	0.001	0	0.002	0	0	0.002	0.001	0.002	0.005
OTU_205	0.041	0.009	2.3	7.82e-10	enriched	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae		Planctomycetes	0.026	0.059	0.035	0.044	0.019	0.029	0.121	0.009	0.157	0.016	0.003	0.016	0.04	0.022	0.025	0.008	0.018	0.002	0.005	0.01	0.004	0.003	0.013	0.006	0.001	0.014	0.012	0.015	0.022
OTU_363	0.033	0.008	2.23	1.05e-10	enriched	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae		Planctomycetes	0.015	0.042	0.012	0.044	0.019	0.042	0.144	0.008	0.044	0.02	0.012	0.017	0.023	0.025	0.023	0.003	0.005	0.007	0.006	0.009	0.001	0.004	0.013	0.009	0.002	0.009	0.005	0.011	0.028
OTU_258	0.035	0.01	2.03	7.42e-09	enriched	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae		Planctomycetes	0.012	0.076	0.032	0.026	0.021	0.039	0.119	0.003	0.077	0.024	0.015	0.013	0.027	0.032	0.017	0.004	0.011	0.002	0.012	0.012	0.004	0.005	0.016	0.007	0.004	0.012	0.009	0.009	0.028
OTU_1090	0.015	0.005	1.62	1.12e-06	enriched	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae		Planctomycetes	0.014	0.014	0.012	0.015	0.018	0.018	0.018	0.003	0.015	0.022	0.005	0.013	0.017	0.017	0.02	0.002	0.005	0.002	0.002	0.007	0.004	0.001	0.01	0.005	0.001	0.004	0.004	0.009	0.018
OTU_655	0.007	0.003	1.39	0.000856	enriched	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae		Planctomycetes	0.002	0.006	0.021	0.005	0.009	0.007	0.018	0.003	0.011	0.002	0.004	0.002	0.002	0.008	0.002	0.002	0.001	0.001	0.003	0.005	0.002	0.001	0.001	0.004	0	0.005	0.001	0.005	0.012
OTU_922	0.025	0.005	2.55	3.6e-13	enriched	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae		Planctomycetes	0.014	0.054	0.016	0.029	0.013	0.026	0.085	0.005	0.04	0.016	0.003	0.017	0.014	0.02	0.018	0.002	0.007	0.002	0.002	0.008	0.001	0.002	0.005	0.004	0.001	0.011	0.004	0.005	0.014
OTU_665	0.01	0.003	1.85	5.3e-05	enriched	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae		Planctomycetes	0.003	0.009	0.03	0.007	0.007	0.006	0.038	0.003	0.015	0.006	0	0.006	0.004	0.011	0.007	0.002	0.005	0.001	0.005	0.003	0	0.001	0.004	0.001	0	0.002	0.005	0.005	0.014
OTU_537	0.014	0.003	2.54	1.56e-09	enriched	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae		Planctomycetes	0.005	0.015	0.013	0.007	0.004	0.012	0.044	0.003	0.062	0.007	0.002	0.007	0.01	0.01	0.011	0	0.004	0.002	0.004	0.002	0.001	0	0.004	0.001	0.001	0.004	0.009	0.002	0.004
OTU_1284	0.003	0.002	1.31	0.00483	enriched	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae		Planctomycetes	0.002	0.006	0.002	0.002	0.002	0.006	0.017	0.003	0.002	0.003	0	0.001	0	0.003	0.003	0	0.002	0.001	0.002	0.002	0.001	0.001	0.004	0	0	0.004	0	0	0.005
OTU_260	0.049	0.015	1.82	8.7e-05	enriched	Proteobacteria	Alphaproteobacteria	Low Abundance			Proteobacteria	0.04	0.043	0.02	0.043	0.039	0.091	0.022	0.036	0.064	0.076	0.07	0.059	0.063	0.029	0.042	0.024	0.04	0.032	0.018	0.033	0.001	0.006	0.001	0.009	0.009	0.003	0.016	0.006	0.011
OTU_5282	0.013	0.003	2.39	0.00119	enriched	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae		Proteobacteria	0.162	0.005	0.003	0.001	0.005	0.004	0.002	0.002	0.002	0.001	0.001	0.001	0.001	0.001	0.003	0.005	0.001	0.001	0.002	0.002	0	0.001	0.003	0.002	0.001	0.008	0.003	0.002	0.015
OTU_243	0.052	0.03	1	0.00528	enriched	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae		Proteobacteria	0.035	0.053	0.278	0.025	0.025	0.066	0.015	0.031	0.018	0.053	0.021	0.044	0.016	0.032	0.065	0.005	0.014	0.021	0.031	0.04	0.031	0.041	0.019	0.01	0.01	0.032	0.045	0.047	0.072
OTU_410	0.017	0.007	1.38	2.85e-05	enriched	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Proteobacteria	0.009	0.012	0.003	0.015	0.013	0.04	0.009	0.024	0.008	0.01	0.039	0.015	0.017	0.029	0.012	0.002	0.014	0.007	0.004	0.007	0.003	0.01	0.004	0.008	0.006	0.008	0.01	0.007	0.005
OTU_9566	0.036	0.019	1.16	0.000141	enriched	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae		Proteobacteria	0.012	0.015	0.269	0.022	0.012	0.023	0.016	0.022	0.025	0.019	0.028	0.022	0.016	0.018	0.018	0.011	0.02	0.017	0.012	0.035	0.015	0.008	0.02	0.01	0.012	0.023	0.029	0.029	0.024
OTU_3514	0.048	0.026	1.02	0.00404	enriched	Proteobacteria	Betaproteobacteria	Burkholderiales			Proteobacteria	0.039	0.029	0.019	0.063	0.043	0.035	0.035	0.097	0.04	0.037	0.074	0.069	0.036	0.062	0.047	0.009	0.018	0.021	0.033	0.023	0.015	0.024	0.025	0.029	0.024	0.048	0.027	0.037	0.03
OTU_10540	0.03	0.009	1.82	1.09e-05	enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	0.800		Proteobacteria	0.011	0.011	0.006	0.036	0.015	0.023	0.019	0.098	0.023	0.036	0.056	0.028	0.01	0.044	0.029	0.003	0.005	0.014	0.008	0.004	0.006	0.009	0.017	0.012	0.007	0.005	0.013	0.009	0.008
OTU_2136	1.415	0.804	0.84	0.00348	enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	0.950		Proteobacteria	0.843	1.005	0.691	1.23	1.066	2.298	1.396	1.53	1.504	2.086	1.648	1.567	1.148	1.657	1.55	0.489	0.456	0.754	1.027	0.738	0.672	1.193	1.116	1.229	1.022	0.488	0.634	0.815	0.621
OTU_5399	0.023	0.008	1.64	0.000155	enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		Proteobacteria	0.008	0.016	0.003	0.027	0.019	0.013	0.014	0.059	0.028	0.014	0.073	0.026	0.017	0.015	0.013	0.004	0.006	0.006	0.006	0.007	0.003	0.008	0.007	0.012	0.008	0.009	0.013	0.006	0.011
OTU_9504	3.028	1.758	0.85	0.00283	enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Methylibium	Proteobacteria	1.889	1.796	1.174	3.682	2.694	2.589	3.841	2.455	1.679	4.928	6.663	2.739	2.677	3.178	3.44	1.611	1.164	1.418	1.831	1.422	1.144	1.755	2.396	3.151	1.427	2.322	2.348	1.223	1.396
OTU_8187	0.12	0.032	1.97	0.0013	enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Methylibium	Proteobacteria	0.039	0.214	0.228	0.047	0.071	0.338	0.089	0.128	0.015	0.13	0.046	0.044	0.065	0.022	0.323	0.008	0.031	0.008	0.044	0.041	0.015	0.035	0.014	0.047	0.052	0.095	0.012	0.022	0.018
OTU_168	0.48	0.242	1.04	0.00462	enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rubrivivax	Proteobacteria	0.224	0.197	3.107	0.321	0.258	0.384	0.295	0.286	0.181	0.256	0.221	0.208	0.244	0.611	0.413	0.174	0.189	0.161	0.33	0.2	0.239	0.381	0.251	0.514	0.196	0.187	0.125	0.234	0.21
OTU_7591	1.292	0.767	0.79	0.00383	enriched	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	0.920	Proteobacteria	0.642	1.073	0.509	1.41	0.962	1.672	1.927	1.645	1.132	1.282	1.077	1.325	0.741	2.821	1.168	0.715	0.522	0.941	0.894	0.519	0.429	0.902	1.022	1.611	0.53	0.511	0.597	0.937	0.612
OTU_218	0.052	0.038	0.6	0.000372	enriched	Proteobacteria	Betaproteobacteria	SC-I-84			Proteobacteria	0.034	0.031	0.033	0.044	0.042	0.075	0.035	0.095	0.048	0.051	0.075	0.059	0.056	0.055	0.046	0.017	0.04	0.045	0.046	0.049	0.018	0.035	0.032	0.021	0.034	0.044	0.04	0.07	0.04
OTU_480	0.013	0.004	1.71	4.17e-09	enriched	Proteobacteria	Deltaproteobacteria	Myxococcales			Proteobacteria	0.01	0.006	0.015	0.011	0.018	0.018	0.007	0.01	0.012	0.017	0.013	0.012	0.01	0.022	0.014	0.004	0.001	0.002	0.003	0.006	0.004	0	0.005	0.003	0.002	0.015	0.005	0.01	0.004
OTU_45	0.316	0.21	0.67	0.00374	enriched	Proteobacteria	Deltaproteobacteria	Myxococcales			Proteobacteria	0.377	0.132	0.178	0.229	0.193	0.508	0.289	0.225	0.345	0.45	0.294	0.502	0.305	0.314	0.401	0.176	0.217	0.169	0.163	0.316	0.149	0.21	0.266	0.277	0.262	0.169	0.185	0.211	0.167
OTU_487	0.019	0.007	1.49	0.00044	enriched	Proteobacteria	Deltaproteobacteria	Myxococcales			Proteobacteria	0.019	0.028	0.018	0.012	0.016	0.021	0.004	0.032	0.013	0.009	0.015	0.023	0.01	0.033	0.032	0.005	0.013	0.006	0.005	0.002	0.001	0.008	0.009	0.007	0.012	0.008	0.009	0.006	0.005
OTU_633	0.015	0.008	1.21	0.000425	enriched	Proteobacteria	Deltaproteobacteria	Myxococcales			Proteobacteria	0.044	0.008	0.016	0.007	0.012	0.017	0.011	0.02	0.007	0.009	0.02	0.011	0.021	0.015	0.013	0.001	0.006	0.015	0.006	0.012	0.001	0.013	0.002	0.001	0.011	0.006	0.007	0.02	0.007
OTU_6422	0.014	0.002	2.85	1.19e-09	enriched	Proteobacteria	Deltaproteobacteria	Myxococcales			Proteobacteria	0.004	0.041	0.018	0.008	0.015	0.014	0.009	0.009	0.004	0.005	0.019	0.013	0.006	0.035	0.006	0.002	0.001	0.002	0.002	0.004	0.002	0.001	0.001	0	0.003	0.003	0.001	0.003	0.003
OTU_602	0.024	0.012	1.31	0.00126	enriched	Proteobacteria	Deltaproteobacteria	Myxococcales			Proteobacteria	0.052	0.041	0.117	0.004	0.012	0.013	0.027	0.02	0.001	0.003	0.017	0.013	0.008	0.018	0.017	0.003	0.007	0.012	0.028	0.031	0.004	0.004	0.005	0.003	0.005	0.019	0.007	0.03	0.012
OTU_2021	0.004	0	4	0.00016	enriched	Proteobacteria	Deltaproteobacteria	Myxococcales			Proteobacteria	0	0.003	0	0.002	0.001	0	0	0	0	0	0	0	0	0.042	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_418	0.042	0.013	1.84	6.25e-12	enriched	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae		Proteobacteria	0.147	0.028	0.014	0.024	0.037	0.044	0.018	0.061	0.018	0.032	0.046	0.036	0.04	0.044	0.039	0.011	0.011	0.011	0.008	0.016	0.007	0.011	0.018	0.018	0.016	0.016	0.012	0.012	0.01
OTU_221	0.037	0.012	1.78	1.7e-10	enriched	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae		Proteobacteria	0.054	0.037	0.048	0.04	0.035	0.049	0.015	0.018	0.021	0.037	0.037	0.029	0.052	0.039	0.049	0.012	0.004	0.006	0.008	0.02	0.01	0.008	0.014	0.021	0.01	0.01	0.016	0.016	0.009
OTU_4053	0.012	0.004	1.91	2.26e-08	enriched	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae		Proteobacteria	0.07	0.005	0.006	0.009	0.005	0.009	0.007	0.014	0.005	0.006	0.007	0.014	0.005	0.011	0.011	0.005	0.001	0.006	0.004	0.002	0.002	0.006	0.003	0.003	0.002	0.005	0.004	0.007	0.002
OTU_341	0.022	0.01	1.17	1.77e-05	enriched	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae		Proteobacteria	0.024	0.02	0.013	0.026	0.018	0.021	0.017	0.01	0.012	0.03	0.04	0.022	0.013	0.035	0.031	0.012	0.013	0.014	0.005	0.015	0.004	0.006	0.014	0.017	0.01	0.013	0.006	0.007	0.009
OTU_1339	0.01	0	4	0.000661	enriched	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Corallococcus	Proteobacteria	0	0	0	0	0.157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_886	0.008	0.001	3	0.000489	enriched	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	Proteobacteria	0.085	0.001	0.006	0.002	0	0.004	0	0.003	0.001	0.001	0.009	0	0	0.001	0.001	0.002	0	0.005	0.001	0.003	0	0	0.002	0	0.001	0.001	0.001	0.001	0
OTU_246	0.012	0.005	1.35	1.66e-07	enriched	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae		Proteobacteria	0.006	0.012	0.009	0.014	0.013	0.011	0.007	0.017	0.017	0.013	0.011	0.019	0.009	0.007	0.008	0.002	0.004	0.006	0.003	0.007	0.005	0.002	0.004	0.001	0.008	0.006	0.009	0.009	0.003
OTU_653	0.002	0	1.73	0.000791	enriched	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae		Proteobacteria	0.001	0.003	0.001	0.002	0.003	0.002	0	0	0.001	0.002	0.004	0.001	0.001	0.005	0	0	0	0	0	0	0.001	0	0	0.001	0	0.002	0.001	0	0.002
OTU_3250	0.002	0	2.4	5.15e-06	enriched	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae		Proteobacteria	0	0.004	0.001	0.004	0.003	0.003	0.001	0.005	0.002	0.003	0	0.003	0.001	0.001	0.002	0.001	0	0	0	0.001	0	0	0	0	0	0	0.001	0.002	0.001
OTU_1248	0.015	0.009	0.81	0.00382	enriched	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae		Proteobacteria	0.011	0.008	0.007	0.015	0.008	0.032	0.006	0.017	0.009	0.015	0.024	0.024	0.012	0.009	0.023	0.002	0.017	0.014	0.009	0.013	0.006	0.009	0.004	0.003	0.007	0.011	0.01	0.01	0.012
OTU_99	0.165	0.117	0.58	0.00485	enriched	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae		Proteobacteria	0.115	0.092	0.071	0.118	0.089	0.215	0.077	0.165	0.15	0.243	0.178	0.223	0.228	0.229	0.277	0.105	0.087	0.165	0.071	0.14	0.115	0.132	0.134	0.114	0.12	0.128	0.114	0.127	0.092
OTU_93	0.071	0.042	0.85	0.00342	enriched	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	Proteobacteria	0.029	0.055	0.024	0.046	0.113	0.126	0.064	0.049	0.063	0.08	0.037	0.076	0.103	0.097	0.099	0.046	0.048	0.044	0.026	0.063	0.05	0.034	0.043	0.04	0.018	0.04	0.024	0.075	0.042
OTU_10538	0.067	0.031	1.34	0.00377	enriched	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Proteobacteria	0.554	0.036	0.042	0.016	0.007	0.025	0.034	0.059	0.027	0.018	0.008	0.034	0.027	0.03	0.095	0.094	0.014	0.028	0.009	0.023	0.107	0.011	0.014	0.014	0.022	0.022	0.036	0.03	0.013
