otu	A_mean	B_mean	logFC	PValue	level	phylum	class	order	family	genus	tax	TPS25a3r1	TPS25a3r2	TPS25a3r3	TPS25a3r4	TPS25a3r5	TPS25a3r6	TPS25a3r7	TPS25a3r8	TPS25a3r9	TPS25a3r10	TPS25a3r11	TPS25a3r12	TPS25a3r13	TPS25a3r14	TPS25a3r15	WT4b3r1	WT4b3r2	WT4b3r3	WT4b3r4	WT4b3r5	WT4b3r6	WT4b3r7	WT4b3r8	WT4b3r9	WT4b3r10	WT4b3r11	WT4b3r12	WT4b3r13	WT4b3r14
OTU_529	0.013	0.006	1.39	5.6e-07	enriched	Acidobacteria	Acidobacteria-6	iii1-15			Acidobacteria	0.006	0.015	0.014	0.017	0.02	0.019	0.004	0.01	0.021	0.012	0.01	0.01	0.019	0.012	0.011	0.002	0.003	0.003	0.007	0.009	0.001	0.001	0.008	0.005	0.002	0.006	0.008	0.015	0.012
OTU_1319	0.005	0.002	1.49	1.18e-05	enriched	Acidobacteria	Acidobacteria-6	iii1-15	mb2424		Acidobacteria	0.003	0.004	0.007	0.009	0.009	0.008	0.004	0.005	0.003	0.002	0	0.005	0.004	0.006	0.004	0.001	0.003	0.002	0.001	0.002	0.001	0	0.004	0.001	0	0.002	0.004	0.002	0.002
OTU_1134	0.001	0	2.83	9.17e-06	enriched	Acidobacteria	Acidobacteria-6	iii1-15	RB40		Acidobacteria	0	0.001	0	0.002	0.001	0.003	0	0	0.001	0.001	0.001	0.001	0.001	0.001	0.003	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0	0
OTU_321	0.025	0.008	1.87	1e-11	enriched	Acidobacteria	Acidobacteria-6	iii1-15	RB40		Acidobacteria	0.047	0.015	0.03	0.019	0.035	0.045	0.01	0.026	0.018	0.018	0.017	0.027	0.021	0.019	0.029	0.003	0.01	0.01	0.012	0.005	0.004	0.001	0.01	0.003	0.004	0.004	0.008	0.016	0.019
OTU_434	0.013	0.004	1.88	1.69e-07	enriched	Acidobacteria	Acidobacteria-6	Low Abundance			Acidobacteria	0.015	0.011	0.012	0.024	0.007	0.021	0.006	0.01	0.006	0.015	0.004	0.014	0.013	0.015	0.014	0	0.003	0.001	0.003	0.006	0.001	0.002	0.007	0.003	0	0.003	0.005	0.006	0.013
OTU_595	0.003	0.001	2.28	4.55e-05	enriched	Acidobacteria	[Chloracidobacteria]	Low Abundance			Acidobacteria	0.002	0.004	0.001	0.004	0.001	0.006	0.019	0.001	0.002	0	0.001	0.004	0.003	0	0.001	0	0.001	0.002	0.002	0.001	0	0.001	0.001	0	0	0	0.001	0.001	0.001
OTU_1392	0.001	0	1.98	0.00194	enriched	Acidobacteria	[Chloracidobacteria]	Low Abundance			Acidobacteria	0	0.001	0	0.001	0	0.001	0.011	0	0.002	0	0	0.001	0.003	0	0.001	0	0	0	0.001	0	0	0	0.001	0.001	0	0	0	0.001	0.002
OTU_608	0.011	0.003	2.02	6.97e-10	enriched	Acidobacteria	[Chloracidobacteria]	Low Abundance	Ellin6075		Acidobacteria	0.013	0.005	0.01	0.011	0.014	0.018	0.004	0.007	0.02	0.01	0.005	0.021	0.008	0.009	0.017	0	0.002	0.005	0.004	0.002	0.001	0	0.01	0.001	0.001	0.002	0.001	0.005	0.007
OTU_669	0.008	0.004	1.09	0.0019	enriched	Actinobacteria	Acidimicrobiia	Acidimicrobiales			Actinobacteria	0.006	0.017	0.003	0.023	0.014	0.006	0.003	0.003	0.007	0.005	0	0.006	0.004	0.005	0.014	0.002	0.009	0.004	0.002	0.005	0.004	0.002	0.003	0.001	0.008	0.003	0.003	0.007	0.002
OTU_1245	0.001	0	2.55	0.004	enriched	Actinobacteria	Actinobacteria	Actinomycetales	1.000		Actinobacteria	0	0	0	0	0	0.001	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
